event_date,event_name,fighter_red,fighter_blue,round,time,weight_class,win_method,winner,stance_red,stance_blue,knockdowns_red,knockdowns_blue,sig_attempts_red,sig_attempts_blue,sig_strikes_red,sig_strikes_blue,total_strikes_attempts_red,total_strikes_attempts_blue,total_strikes_red,total_strikes_blue,sub_attempts_red,sub_attempts_blue,takedowns_red,takedowns_blue,takedown_attempts_red,takedown_attempts_blue,control_time_red,control_time_blue,head_strikes_red,head_strikes_blue,head_attempts_red,head_attempts_blue,body_strikes_red,body_strikes_blue,body_attempts_red,body_attempts_blue,leg_strikes_red,leg_strikes_blue,leg_attempts_red,leg_attempts_blue,distance_red,distance_blue,distance_attempts_red,distance_attempts_blue,clinch_strikes_red,clinch_strikes_blue,clinch_attempts_red,clinch_attempts_blue,ground_strikes_red,ground_strikes_blue,ground_attempts_red,ground_attempts_blue,octagon_debut_blue,height_blue,weight_blue,reach_blue,leg_reach_blue,sig_strikes_landed_per_minute_blue,sig_strikes_absorbed_per_minute_blue,takedowns_avg_blue,submission_avg_blue,knockdown_avg_blue,fight_time_avg_blue,octagon_debut_red,height_red,weight_red,reach_red,leg_reach_red,sig_strikes_landed_per_minute_red,sig_strikes_absorbed_per_minute_red,takedowns_avg_red,submission_avg_red,knockdown_avg_red,fight_time_avg_red,avg_rounds_red,avg_time_red,avg_knockdowns_red,avg_sig_attempts_red,avg_sig_strikes_red,avg_total_strikes_attempts_red,avg_total_strikes_red,avg_sub_attempts_red,avg_takedowns_red,avg_takedown_attempts_red,avg_head_strikes_red,avg_head_attempts_red,avg_body_strikes_red,avg_body_attempts_red,avg_leg_strikes_red,avg_leg_attempts_red,avg_distance_red,avg_distance_attempts_red,avg_clinch_strikes_red,avg_clinch_attempts_red,avg_ground_strikes_red,avg_ground_attempts_red,avg_rounds_blue,avg_time_blue,avg_knockdowns_blue,avg_sig_attempts_blue,avg_sig_strikes_blue,avg_total_strikes_attempts_blue,avg_total_strikes_blue,avg_sub_attempts_blue,avg_takedowns_blue,avg_takedown_attempts_blue,avg_head_strikes_blue,avg_head_attempts_blue,avg_body_strikes_blue,avg_body_attempts_blue,avg_leg_strikes_blue,avg_leg_attempts_blue,avg_distance_blue,avg_distance_attempts_blue,avg_clinch_strikes_blue,avg_clinch_attempts_blue,avg_ground_strikes_blue,avg_ground_attempts_blue,wins_before_red,losses_before_red,total_fights_before_red,wins_before_blue,losses_before_blue,total_fights_before_blue,win_pct_before_red,win_pct_before_blue,wins_last_3_red,wins_last_3_blue,fights_last_3_red,fights_last_3_blue,days_since_debut_red,days_since_debut_blue,days_since_last_win_red,days_since_last_win_blue,recent_winner_red,recent_winner_blue,wins_last_365_days_red,wins_last_365_days_blue,fights_last_365_days_red,fights_last_365_days_blue,undefeated_last_year_red,undefeated_last_year_blue,win_streak_red,win_streak_blue,lose_streak_red,lose_streak_blue,on_win_streak_red,on_win_streak_blue,long_win_streak_red,long_win_streak_blue
1994-03-11,UFC 2: No Way Out,royce gracie,patrick smith,1,77,Open Weight,KO/TKO,1,Southpaw,Orthodox,0,0,4,2,4,1,11,3,11,2,0,0,1,0,2,0,0,0,3,0,3,0,0,1,0,2,1,0,1,0,0,0,0,1,1,1,1,1,3,0,3,0,1993-11-12,74.0,225.0,77.7,42.5,0.0,0.0,0.0,0.0,0.0,0.0,1993-11-12,73.0,175.0,75.6,41.0,1.0,1.0,0.0,0.76,0.0,630.0,,,,,,,,,,,,,,,,,,,,,,,1.0,51.666666666666664,0.0,10.0,6.333333333333333,12.666666666666666,8.333333333333334,0.6666666666666666,0.0,0.3333333333333333,4.333333333333333,6.666666666666667,1.3333333333333333,1.3333333333333333,0.6666666666666666,2.0,1.0,3.3333333333333335,1.3333333333333333,1.3333333333333333,4.0,5.333333333333333,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,9999.0,9999.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-03-11,UFC 2: No Way Out,patrick smith,ray wizard,1,58,Open Weight,Submission,1,Orthodox,Orthodox,0,0,1,1,1,1,1,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1994-03-11,70.14733660748017,166.58578984485192,71.62418300653594,40.00087873462214,0.0,0.0,0.0,0.0,0.0,0.0,1993-11-12,74.0,225.0,77.7,42.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0,17.0,13.0,25.0,19.0,0.0,0.0,0.0,12.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,16.0,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0,0.5,0.0,1,0,2,0,0,0,0.0,9999.0,1,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0
1994-03-11,UFC 2: No Way Out,remco pardoel,alberta cerra leon,1,591,Open Weight,Submission,1,Southpaw,Orthodox,0,0,6,3,4,1,22,11,20,9,1,0,1,0,1,0,0,0,4,1,5,3,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,4,0,5,2,2026-01-27,70.14733660748017,166.58578984485192,71.62418300653594,40.00087873462214,0.0,0.0,0.0,0.0,0.0,0.0,1994-03-11,70.14733660748017,166.58578984485192,71.62418300653594,40.00087873462214,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,1.0,0.0,0,0,1,0,0,0,9999.0,9999.0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
1994-03-11,UFC 2: No Way Out,frank hamaker,thaddeus luster,1,292,Open Weight,Submission,1,Orthodox,Orthodox,0,0,3,0,2,0,15,0,14,0,3,0,1,0,1,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,1994-03-11,70.14733660748017,166.58578984485192,71.62418300653594,40.00087873462214,0.0,0.0,0.0,0.0,0.0,0.0,1994-03-11,70.14733660748017,166.58578984485192,71.62418300653594,40.00087873462214,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,9999.0,9999.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-03-11,UFC 2: No Way Out,patrick smith,scott morris,1,30,Open Weight,KO/TKO,1,Orthodox,Orthodox,0,0,17,0,13,0,25,0,19,0,0,0,0,0,0,1,0,0,12,0,16,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,12,0,16,0,1994-03-11,70.14733660748017,166.58578984485192,71.62418300653594,40.00087873462214,0.0,0.0,0.0,0.0,0.0,0.0,1993-11-12,74.0,225.0,77.7,42.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,20.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,1,3,1,0,1,0.667,1.0,0,0,1,0,0,0,9999.0,9999.0,0,0,1,1,2,1,0,1,1,0,0,0,1,0,0,0
1994-03-11,UFC 2: No Way Out,scott morris,sean daugherty,1,20,Open Weight,Submission,1,Orthodox,Orthodox,0,0,1,4,1,0,2,5,2,1,1,0,1,0,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,3,1,0,1,1,0,0,0,0,1994-03-11,70.14733660748017,166.58578984485192,71.62418300653594,40.00087873462214,0.0,0.0,0.0,0.0,0.0,0.0,1994-03-11,70.14733660748017,166.58578984485192,71.62418300653594,40.00087873462214,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,9999.0,9999.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1994-03-11,UFC 2: No Way Out,johnny rhodes,fred ettish,1,187,Open Weight,Submission,1,Orthodox,Southpaw,1,0,29,7,13,4,38,11,21,7,1,0,0,0,0,0,0,0,12,0,28,1,0,2,0,4,1,2,1,2,3,4,6,7,1,0,2,0,9,0,21,0,1994-03-11,70.14733660748017,166.58578984485192,71.62418300653594,40.00087873462214,0.0,0.0,0.0,0.0,0.0,0.0,1994-03-11,70.14733660748017,166.58578984485192,71.62418300653594,40.00087873462214,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,0,0.5,0.0,0,0,0,0,0,0,9999.0,9999.0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
1994-03-11,UFC 2: No Way Out,royce gracie,remco pardoel,1,91,Open Weight,Submission,1,Southpaw,Southpaw,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994-03-11,70.14733660748017,166.58578984485192,71.62418300653594,40.00087873462214,0.0,0.0,0.0,0.0,0.0,0.0,1993-11-12,73.0,175.0,75.6,41.0,1.0,1.0,0.0,0.76,0.0,630.0,1.0,77.0,0.0,4.0,4.0,11.0,11.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,340.0,0.0,6.5,5.5,14.5,13.5,0.5,1.0,1.0,5.5,6.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,5.5,6.0,3,0,3,2,0,2,1.0,1.0,1,0,1,0,0,0,0.0,0.0,1,1,3,1,3,1,1,1,1,1,0,0,1,1,0,0
1994-03-11,UFC 2: No Way Out,remco pardoel,orlando wiet,1,89,Open Weight,KO/TKO,1,Southpaw,Southpaw,0,0,7,2,7,1,7,7,7,5,0,0,1,0,1,0,0,0,7,0,7,1,0,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,7,0,7,0,1994-03-11,70.14733660748017,166.58578984485192,71.62418300653594,40.00087873462214,0.0,0.0,0.0,0.0,0.0,0.0,1994-03-11,70.14733660748017,166.58578984485192,71.62418300653594,40.00087873462214,0.0,0.0,0.0,0.0,0.0,0.0,1.0,591.0,0.0,6.0,4.0,22.0,20.0,1.0,1.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,5.0,1.0,170.0,0.0,12.0,8.0,15.0,11.0,0.0,0.0,0.0,7.0,11.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,7.0,9.0,0,0,0,0,0,0,0.0,0.0,1,0,2,0,0,0,0.0,9999.0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
1994-03-11,UFC 2: No Way Out,royce gracie,jason delucia,1,67,Open Weight,Submission,1,Southpaw,Southpaw,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993-11-12,71.0,190.0,75.5,40.2,0.0,0.0,0.0,0.0,0.0,0.0,1993-11-12,73.0,175.0,75.6,41.0,1.0,1.0,0.0,0.76,0.0,630.0,1.0,158.66666666666666,0.0,2.6666666666666665,2.0,41.666666666666664,40.333333333333336,1.0,1.0,1.6666666666666667,1.0,1.0,0.0,0.0,1.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,401.0,0.0,5.0,3.0,25.0,20.0,5.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,1,0,1,0,0,0,1.0,0.0,3,1,3,1,0,0,0.0,0.0,1,1,2,0,2,0,1,0,2,0,0,0,1,0,0,0
